ITS2 type profile UID	Clade	Majority ITS2 sequence	Associated species	ITS2 profile abundance local	ITS2 profile abundance DB	ITS2 type profile	Sequence accession / SymPortal UID	Average defining sequence proportions and [stdev]
492288	C	C42a	None	13	32	C42a/C1/C42.2-C1b-C1au-C3-C115k	82-2-1-4-5-32-20	0.780[0.023]-0.077[0.010]-0.073[0.008]-0.035[0.005]-0.014[0.002]-0.011[0.002]-0.010[0.002]
493016	C	C42a/C1d	None	13	49	C42a/C1d-C1mt-C42.2-C1-C1b	82/106-1-2-93426-4	0.429[0.264]/0.287[0.228]-0.127[0.046]-0.077[0.038]-0.047[0.047]-0.033[0.019]
492632	C	C3	None	8	83	C3/C3dc	32-272	0.649[0.044]-0.351[0.044]
493292	C	C1d/C1bi	None	7	28	C1d/C1bi-C42.2-C1	106/113-1-2	0.644[0.155]-0.206[0.073]/0.101[0.146]-0.049[0.021]
493402	C	C1d	None	7	64	C1d	106	1.000[0.000]
491943	C	C42a	None	7	32	C42a/C42.2-C1-C42ak-C1b-C1j	82-92051-1-2-4-15	0.605[0.032]-0.135[0.075]-0.106[0.004]-0.105[0.040]-0.035[0.005]-0.014[0.003]
493243	C	C1d/C42a/C42.2	None	6	6	C1d/C42a/C42.2-C1mt	106/82/1-93426	0.582[0.220]/0.179[0.169]/0.169[0.141]-0.070[0.018]
493241	C	C1d	None	5	5	C1d-C1mt-C1nq	106-93426-270782	0.783[0.073]-0.132[0.046]-0.086[0.036]
491849	C	C1d	None	5	729	C1d/C1/C42.2/C3-C1b-C3cg-C45c-C115k-C1au-C41p	106-1-2-108-4-5-117-32-20-118	0.620[0.020]-0.195[0.010]-0.084[0.006]-0.033[0.003]-0.028[0.003]-0.011[0.002]-0.009[0.001]-0.007[0.002]-0.007[0.001]-0.006[0.001]
491880	C	C42a	None	5	144	C42a/C42.2/C1/C1b-C1j-C1au-C3	82-2-1-4-20-32-15	0.758[0.107]-0.079[0.039]-0.069[0.013]-0.042[0.017]-0.020[0.023]-0.016[0.009]-0.015[0.012]
493015	C	C1d/C42a	None	5	6	C1d/C42a-C1mt-C42.2-C1-C1nq	106/82-93426-270782-1-2	0.571[0.152]/0.147[0.150]-0.115[0.029]-0.058[0.017]-0.057[0.030]-0.053[0.018]
491996	C	C1d/C42.2	None	5	22	C1d/C42.2		0.550[0.213]/0.450[0.213]
493145	C	C1b/C3	None	4	235	C1b/C3		0.674[0.140]/0.326[0.140]
493232	C	C1d/C42.2/C42a	None	4	7	C1d/C42a/C42.2-C1	106/1/82-2	0.428[0.275]/0.268[0.154]/0.224[0.277]-0.079[0.050]
492848	C	C1d	None	4	15	C1d-C1mt-C42.2-C1-C3cg-C1b	106-1-2-93426-108-4	0.581[0.049]-0.136[0.014]-0.100[0.030]-0.095[0.012]-0.049[0.010]-0.040[0.009]
493013	C	C1d	None	4	4	C1d-C1mt-C42.2-C1-C42em	106-93426-1-2-32895	0.741[0.067]-0.101[0.050]-0.061[0.020]-0.051[0.032]-0.047[0.030]
493668	C	C1k	None	3	6	C1k	109	1.000[0.000]
491763	C	C1d	None	3	7	C1d/C1-C42.2-C1b-C3cg-C1au	106-1-2-4-20-108	0.672[0.012]-0.209[0.038]-0.062[0.018]-0.024[0.015]-0.016[0.006]-0.016[0.007]
492123	C	C3	None	2	158	C3/C115d	32-358	0.690[0.061]-0.310[0.061]
491689	C	C1d	None	2	9	C1d/C1-C42.2	106-1-2	0.668[0.196]-0.193[0.068]-0.139[0.128]
492209	C	C1d	None	2	10	C1d-C42.2-C1-C1k-C3cg	106-1-2-109-108	0.682[0.071]-0.202[0.043]-0.061[0.043]-0.028[0.004]-0.027[0.019]
491719	C	C1d	None	2	27	C1d/C42.2/C1-C1b-C3cg-C45c-C115k-C1au	106-1-2-4-108-5-117-20	0.692[0.028]-0.185[0.014]-0.059[0.007]-0.023[0.001]-0.022[0.004]-0.007[0.001]-0.006[0.001]-0.005[0.000]
491720	C	C1d	None	2	7	C1d-C42.2-C1-C3cg-C1b-C45c-C115k	106-1-2-108-4-5-117	0.685[0.004]-0.186[0.002]-0.069[0.002]-0.024[0.000]-0.021[0.001]-0.008[0.000]-0.006[0.001]
492241	C	C1d	None	2	18	C1d/C1	106-2	0.867[0.115]-0.133[0.115]
491737	C	C1d	None	2	10	C1d/C1-C42.2-C1b	106-1-2-4	0.721[0.068]-0.204[0.031]-0.045[0.038]-0.030[0.001]
491768	C	C1d	None	2	8	C1d/C1-C42.2-C3-C1b-C3cg	106-1-32-2-4-108	0.705[0.008]-0.186[0.016]-0.036[0.036]-0.031[0.031]-0.023[0.012]-0.020[0.006]
491770	C	C42a	None	2	7	C42a/C42.2-C1b-C1-C42b-C1au	82-1-4-2-83-20	0.651[0.088]-0.123[0.047]-0.076[0.051]-0.071[0.008]-0.059[0.013]-0.020[0.011]
493329	C	C42a	None	2	20	C42a/C42.2/C1b	82-1-4	0.821[0.004]-0.114[0.021]-0.066[0.025]
493398	C	C1b	None	2	43	C1b	4	1.000[0.000]
493011	C	C1mt/C1d	None	2	3	C1d/C1mt-C42.2-C1-C3cg	93426/106-1-2-108	0.524[0.597]/0.376[0.495]-0.060[0.077]-0.033[0.022]-0.007[0.003]
492521	C	C1d	None	2	2	C1d-C42.2-C1bi	106-1-113	0.763[0.024]-0.198[0.003]-0.039[0.021]
493665	C	C42en	None	1	1	C42en	486	1.000[nan]
493666	C	C1or	None	1	1	C1or	92077	1.000[nan]
493667	C	C42eo	None	1	1	C42eo	33434	1.000[nan]
491690	C	C1d	None	1	4	C1d-C42.2-C1-C1k	106-1-2-109	0.704[nan]-0.229[nan]-0.048[nan]-0.019[nan]
491691	C	C1d	None	1	13	C1d-C42.2-C1-C3cg-C1b	106-1-2-4-108	0.674[nan]-0.215[nan]-0.053[nan]-0.030[nan]-0.028[nan]
493239	C	C42a	None	1	1	C42a-C42ak-C42.2-C1	82-92051-1-2	0.603[nan]-0.302[nan]-0.083[nan]-0.013[nan]
492292	C	C3	None	1	34	C1/C3/C42.2	32-1-2	0.712[nan]-0.248[nan]-0.040[nan]
492847	C	C42a	None	1	16	C42a-C42.2-C1-C42ak-C1b	82-1-92051-2-4	0.681[nan]-0.200[nan]-0.050[nan]-0.041[nan]-0.028[nan]
492851	C	C1d	None	1	52	C1d/C1/C42.2-C3cg-C1b-C115k-C45c-C42ap	106-1-2-108-4-322-5-117	0.678[nan]-0.190[nan]-0.052[nan]-0.023[nan]-0.018[nan]-0.017[nan]-0.013[nan]-0.008[nan]
492863	C	C1d	None	1	16	C1d-C42.2-C1-C1k-C1b	106-1-2-4-109	0.704[nan]-0.165[nan]-0.075[nan]-0.033[nan]-0.023[nan]
493379	C	C1	None	1	108	C1	2	1.000[nan]
493380	C	C3	None	1	93	C3	32	1.000[nan]
491865	C	C42a	None	1	1	C42a-C42.2-C1-C42b-C1b-C1az	82-1-2-83-4-214	0.772[nan]-0.087[nan]-0.065[nan]-0.037[nan]-0.025[nan]-0.014[nan]
491869	C	C42a	None	1	3	C42a/C42.2/C3-C1-C1b-C1au	82-1-4-2-32-20	0.622[nan]-0.126[nan]-0.087[nan]-0.080[nan]-0.052[nan]-0.034[nan]
491379	C	C42a	None	1	13	C42.2/C42a/C1-C1b	82-1-2-4	0.698[nan]-0.166[nan]-0.118[nan]-0.018[nan]
492414	C	C1d	None	1	1	C1d-C1k-C42.2	106-109-1	0.911[nan]-0.076[nan]-0.014[nan]
491917	C	C1d	None	1	7	C1d-C42.2-C1-C3cg-C1b-C45c	106-1-2-108-4-117	0.711[nan]-0.158[nan]-0.075[nan]-0.022[nan]-0.019[nan]-0.014[nan]
491936	C	C42a	None	1	56	C42a/C1-C42.2-C42b-C1az-C1b-C115d-C1au	82-1-2-83-4-20-358-214	0.663[nan]-0.152[nan]-0.073[nan]-0.036[nan]-0.034[nan]-0.022[nan]-0.013[nan]-0.005[nan]
492460	C	C42a	None	1	217	C42a/C1/C42.2/C1b/C1j-C1au-C3-C115l	82-2-1-4-15-20-32-326	0.806[nan]-0.067[nan]-0.061[nan]-0.028[nan]-0.012[nan]-0.010[nan]-0.010[nan]-0.005[nan]
493009	C	C1d	None	1	1	C1d-C42.2-C1nq-C1mt-C1	106-1-270782-93426-2	0.608[nan]-0.211[nan]-0.103[nan]-0.066[nan]-0.012[nan]
493010	C	C42a	None	1	2	C42a/C1d-C42.2-C1-C1mt	82-106-1-2-93426	0.791[nan]-0.086[nan]-0.068[nan]-0.047[nan]-0.007[nan]
492017	C	C1d	None	1	28	C1d/C1/C42.2-C1b-C3-C3cg-C45c	106-1-2-108-4-32-117	0.751[nan]-0.147[nan]-0.051[nan]-0.020[nan]-0.011[nan]-0.010[nan]-0.009[nan]
494017	D	D1/D1as/D1ba	None	263	431	D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd	853/910/455050-455036-455024-854-71313-481151-481152-933-460392	0.313[0.049]/0.211[0.028]/0.104[0.023]-0.095[0.021]-0.053[0.020]-0.049[0.016]-0.040[0.008]-0.038[0.011]-0.034[0.013]-0.033[0.007]-0.031[0.009]
494099	D	D1	None	21	21	D1-D4-D1as-D1bb-D1mx-D6-D1at-D1ax	853-854-910-455036-10439-933-455024-71313	0.407[0.022]-0.122[0.026]-0.102[0.043]-0.088[0.012]-0.088[0.019]-0.083[0.029]-0.058[0.009]-0.053[0.008]
494098	D	D1	None	13	13	D1-D1as-D1bb-D4-D1bd-D1ba-D1mw-D6-D1ax	853-910-455036-854-460392-455050-516048-933-71313	0.296[0.043]-0.150[0.021]-0.138[0.014]-0.136[0.024]-0.069[0.009]-0.067[0.020]-0.057[0.021]-0.046[0.009]-0.041[0.008]
493774	D	D1/D1ba	None	10	106	D1/D1ba-D1as-D1at-D4-D6-D1ax-D1bb	853/455050-455024-910-854-71313-933-455036	0.254[0.123]-0.215[0.068]/0.181[0.113]-0.160[0.010]-0.092[0.028]-0.042[0.009]-0.040[0.005]-0.017[0.016]
494010	D	D1	None	8	62	D1-D1as-D1at-D4-D6-D1bb-D1ba-D1ax-D1bd	853-455036-910-854-455024-71313-933-460392-455050	0.409[0.030]-0.132[0.052]-0.126[0.037]-0.077[0.014]-0.071[0.069]-0.065[0.009]-0.052[0.015]-0.044[0.018]-0.025[0.018]
494143	D	D4	None	3	48	D4	854	1.000[0.000]
494254	D	D1dy	None	3	3	D1dy	481152	1.000[0.000]
494126	D	D1/D1as	None	2	9	D1/D1as-D4	853/910-854	0.495[0.681]/0.275[0.369]-0.230[0.312]
494142	D	D1	None	2	104	D1	853	1.000[0.000]
494517	D	D1bd	None	2	8	D1bd	460392	1.000[0.000]
494020	D	D1	None	2	8	D1/D1ba-D1as-D1bb-D1at-D4-D6-D1bd-D1ax-D1ea	853-910-455050-854-455024-933-71313-455036-460392-481151	0.374[0.038]-0.220[0.058]-0.096[0.002]-0.077[0.032]-0.069[0.038]-0.054[0.027]-0.036[0.017]-0.030[0.017]-0.029[0.033]-0.014[0.010]
494094	D	D1	None	1	1	D1-D1as-D1ba-D1bb-D1ax-D4	853-910-455036-455050-71313-854	0.301[nan]-0.267[nan]-0.151[nan]-0.151[nan]-0.075[nan]-0.055[nan]
494096	D	D1	None	1	1	D1-D1as-D1ba-D1dy-D4-D1at-D1bd-D1ea-D1bb	853-910-455050-854-481152-455024-460392-481151-455036	0.398[nan]-0.258[nan]-0.111[nan]-0.053[nan]-0.053[nan]-0.036[nan]-0.031[nan]-0.031[nan]-0.029[nan]
494110	D	D1	None	1	13	D1-D17d-D1r-D17e-D17c	853-2582-1759-944-2587	0.525[nan]-0.230[nan]-0.107[nan]-0.090[nan]-0.049[nan]
494127	D	D1at	None	1	1	D1at-D1-D1as	455024-853-910	0.354[nan]-0.335[nan]-0.311[nan]
493709	D	D1	None	1	50	D1/D4/D6-D17d-D17e-D1r-D17c	853-2587-2582-1759-944-933-854	0.387[nan]-0.195[nan]-0.166[nan]-0.112[nan]-0.073[nan]-0.035[nan]-0.032[nan]
494251	D	D1my	None	1	1	D1my	545570	1.000[nan]
494252	D	D1mz	None	1	2	D1mz	465158	1.000[nan]
494253	D	D1na	None	1	1	D1na	616156	1.000[nan]
494255	D	D1mw	None	1	1	D1mw	516048	1.000[nan]
494256	D	D1ig	None	1	1	D1ig	467223	1.000[nan]
494257	D	D1nb	None	1	1	D1nb	497534	1.000[nan]
493778	D	D1	None	1	3	D1as/D1-D4-D1at-D1ba-D6	853-910-455024-455050-854-933	0.402[nan]-0.333[nan]-0.098[nan]-0.078[nan]-0.049[nan]-0.039[nan]
493780	D	D1	None	1	14	D1-D1as-D4-D1at-D6-D1ax-D1ba	853-910-71313-854-455024-455050-933	0.474[nan]-0.146[nan]-0.104[nan]-0.100[nan]-0.076[nan]-0.068[nan]-0.032[nan]
493849	D	D1	None	1	3	D1-D17d-D4-D1r-D17e-D17c-D17j	853-2582-2587-854-944-1759-1768	0.434[nan]-0.139[nan]-0.127[nan]-0.114[nan]-0.072[nan]-0.072[nan]-0.042[nan]
494012	D	D1as	None	1	3	D1/D1as-D1ba-D1bb-D4-D6-D1ax-D1at-D1ea-D1dy	910-853-455050-455036-481151-933-71313-455024-854-481152	0.270[nan]-0.173[nan]-0.148[nan]-0.133[nan]-0.066[nan]-0.061[nan]-0.061[nan]-0.036[nan]-0.026[nan]-0.026[nan]
494019	D	D1	None	1	2	D1-D1as-D1ba-D1bb-D1bd-D4-D1at-D1dy-D1ax-D1ea	853-910-455050-460392-455036-481152-854-455024-71313-481151	0.372[nan]-0.264[nan]-0.142[nan]-0.046[nan]-0.038[nan]-0.038[nan]-0.031[nan]-0.031[nan]-0.019[nan]-0.019[nan]
494283	F	F3.1/F3g	None	2	10	F3.1/F3g		0.545[0.123]/0.455[0.123]
494363	F	F3aa	None	2	2	F3aa	779167	1.000[0.000]
